lon,lat,alt,rel_alt,heading,time
55.4718414,10.32504,15.295,-0.036,213.0,1669366836.1682355
55.4718414,10.32504,15.295,-0.036,213.0,1669366836.1685066
55.4718414,10.3250401,15.285,0.0,213.0,1669366837.1676548
55.4718414,10.3250401,15.283,-0.002,213.0,1669366838.1676643
55.4718415,10.3250401,15.276,-0.009,213.0,1669366839.1676862
55.4718415,10.3250401,15.273,-0.012,213.0,1669366840.1683524
55.4718416,10.3250402,15.267,-0.018,213.0,1669366841.1676102
55.4718416,10.3250402,15.262,-0.023,213.0,1669366842.1683326
55.4718416,10.3250402,15.258,-0.027,213.0,1669366843.1675627
55.4718417,10.3250402,15.256,-0.029,213.0,1669366844.1686573
55.4718417,10.3250402,15.247,-0.038,213.0,1669366845.1683388
55.4718417,10.3250402,15.242,-0.043,213.0,1669366846.167672
55.4718417,10.3250401,15.235,-0.05,214.0,1669366847.1676238
55.4718418,10.3250399,15.228,-0.057,214.0,1669366848.168646
55.4718418,10.3250398,15.225,-0.06,214.0,1669366849.168606
55.4718416,10.3250397,15.213,-0.072,214.0,1669366850.167639
55.4718413,10.3250397,15.17,-0.115,214.0,1669366851.1676476
55.471841,10.3250398,15.14,-0.145,213.0,1669366852.167761
55.4718403,10.3250403,15.091,-0.194,213.0,1669366853.1676571
55.4718398,10.325041,15.074,-0.211,213.0,1669366854.1676598
55.4718394,10.3250415,15.06,-0.225,213.0,1669366855.168315
55.4718387,10.3250423,15.031,-0.254,213.0,1669366856.1679373
55.4718386,10.3250425,15.089,0.037,213.0,1669366857.168334
55.4718385,10.3250425,15.088,0.036,213.0,1669366858.1686413
55.4718382,10.3250426,15.062,0.01,213.0,1669366859.167541
55.471838,10.3250427,15.057,0.005,213.0,1669366860.1683471
55.4718378,10.3250428,15.064,0.012,213.0,1669366861.1683295
55.4718375,10.3250428,15.055,0.003,213.0,1669366862.168617
55.4718374,10.3250428,15.05,-0.001,213.0,1669366863.168349
55.4718373,10.3250429,15.044,-0.007,213.0,1669366864.1676033
55.4718372,10.325043,15.039,-0.012,213.0,1669366865.1683528
55.4718372,10.325043,15.042,-0.009,213.0,1669366866.1676824
55.4718371,10.325043,15.042,-0.009,213.0,1669366867.1683435
55.471837,10.3250428,15.034,-0.017,213.0,1669366868.168331
55.471837,10.3250428,15.031,-0.02,213.0,1669366869.167956
55.4718369,10.3250427,15.029,-0.001,213.0,1669366870.1686306
55.4718369,10.3250426,15.078,0.047,213.0,1669366871.167656
55.4718403,10.3250417,15.625,0.046,239.0,1669366872.1676722
55.471845,10.3250382,15.806,-0.006,311.0,1669366873.1676464
55.4718481,10.3250046,15.75,0.021,354.0,1669366874.1683095
55.4718467,10.3249885,15.764,-0.016,355.0,1669366875.168594
55.4718452,10.3249726,15.65,-0.06,350.0,1669366876.1676624
55.4718452,10.3249726,15.65,-0.06,350.0,1669366877.1683252
55.4718452,10.3249726,15.65,-0.06,350.0,1669366878.1677856
55.4718453,10.3249559,15.031,-0.237,341.0,1669366879.1683264
55.4718458,10.3249565,15.07,-0.199,341.0,1669366880.167602
55.4718458,10.3249565,15.07,-0.199,341.0,1669366881.1675618
55.4718458,10.3249565,15.07,-0.199,341.0,1669366882.1683078
55.4718461,10.3249565,15.053,0.003,341.0,1669366883.168619
55.471846,10.3249568,15.062,0.012,341.0,1669366884.1686292
55.4718459,10.3249571,15.063,0.013,341.0,1669366885.168356
55.4718459,10.3249572,15.066,0.016,341.0,1669366886.1676643
55.4718459,10.3249573,15.066,0.016,341.0,1669366887.1685953
55.471846,10.3249573,15.068,0.018,341.0,1669366888.1676416
55.4718462,10.3249573,15.06,0.01,341.0,1669366889.1679745
55.4718463,10.3249573,15.055,0.005,341.0,1669366890.1676607
55.4718463,10.3249573,15.055,0.005,341.0,1669366891.1683211
55.471847,10.3249572,15.034,-0.015,341.0,1669366892.1679595
55.4718476,10.3249568,15.006,-0.043,341.0,1669366893.1683033
55.4718476,10.3249568,15.006,-0.043,341.0,1669366894.1679444
55.4718475,10.3249567,14.939,-0.11,341.0,1669366895.1676526
55.4718472,10.3249572,14.879,-0.17,341.0,1669366896.1683304
55.4718471,10.3249574,14.854,-0.004,341.0,1669366897.1676679
55.4718471,10.3249574,14.854,-0.004,341.0,1669366898.1675549
55.4718486,10.3249524,15.291,0.432,340.0,1669366899.1683824
55.4718486,10.3249524,15.291,0.432,340.0,1669366900.1676166
55.47185,10.3249532,17.396,2.537,352.0,1669366901.1683362
55.47185,10.3249532,17.396,2.537,352.0,1669366902.167648
55.4718521,10.3249551,19.562,4.703,345.0,1669366903.1676137
55.4718507,10.3249534,20.278,5.418,348.0,1669366904.1676412
55.4718476,10.3249504,21.865,7.006,348.0,1669366905.1683352
55.4718479,10.3249469,24.076,9.216,348.0,1669366906.1683297
55.4718496,10.324944,25.247,10.388,343.0,1669366907.167429
55.4718508,10.3249417,25.663,10.804,343.0,1669366908.1683362
55.4718558,10.3249351,26.405,11.545,346.0,1669366909.1683812
55.4718647,10.3249267,27.183,12.323,347.0,1669366910.1683574
55.471877,10.3249188,27.832,12.972,339.0,1669366911.1683295
55.4718911,10.3249096,28.453,13.594,343.0,1669366912.1675894
55.4719032,10.3249016,28.735,13.876,343.0,1669366913.1676626
55.471936,10.3248782,29.194,14.334,346.0,1669366914.16831
55.4719757,10.3248496,29.795,14.936,343.0,1669366915.1676373
55.4719757,10.3248496,29.795,14.936,343.0,1669366916.167629
55.4719757,10.3248496,29.795,14.936,343.0,1669366917.167666
55.4719757,10.3248496,29.795,14.936,343.0,1669366918.1676471
55.4719757,10.3248496,29.795,14.936,343.0,1669366919.16767
55.4719757,10.3248496,29.795,14.936,343.0,1669366920.1678467
55.4720811,10.3248001,33.905,19.045,41.0,1669366921.168312
55.4720887,10.3248115,34.236,19.377,39.0,1669366922.168629
55.4720999,10.3248284,34.54,19.681,37.0,1669366923.1675947
55.4720999,10.3248284,34.54,19.681,37.0,1669366924.1685817
55.4720999,10.3248284,34.54,19.681,37.0,1669366925.168304
55.4720999,10.3248284,34.54,19.681,37.0,1669366926.1682124
55.4720999,10.3248284,34.54,19.681,37.0,1669366927.1682234
55.4720999,10.3248284,34.54,19.681,37.0,1669366928.1682944
55.4720999,10.3248284,34.54,19.681,37.0,1669366929.1676621
55.4720999,10.3248284,34.54,19.681,37.0,1669366930.1675458
55.4720999,10.3248284,34.54,19.681,37.0,1669366931.1679728
55.4720999,10.3248284,34.54,19.681,37.0,1669366932.1683424
55.4720999,10.3248284,34.54,19.681,37.0,1669366933.1682863
55.4720999,10.3248284,34.54,19.681,37.0,1669366934.168356
55.4720999,10.3248284,34.54,19.681,37.0,1669366935.16832
55.4720999,10.3248284,34.54,19.681,37.0,1669366936.16793
55.4720999,10.3248284,34.54,19.681,37.0,1669366937.1682987
55.4720999,10.3248284,34.54,19.681,37.0,1669366938.1683342
55.4720999,10.3248284,34.54,19.681,37.0,1669366939.1683178
55.4720999,10.3248284,34.54,19.681,37.0,1669366940.1683507
55.4720999,10.3248284,34.54,19.681,37.0,1669366941.1676466
55.4720999,10.3248284,34.54,19.681,37.0,1669366942.1682868
55.4720999,10.3248284,34.54,19.681,37.0,1669366943.1683204
55.4720999,10.3248284,34.54,19.681,37.0,1669366944.1683369
55.4720999,10.3248284,34.54,19.681,37.0,1669366945.1682472
55.4720999,10.3248284,34.54,19.681,37.0,1669366946.1683342
55.4720999,10.3248284,34.54,19.681,37.0,1669366947.1683319
55.4720999,10.3248284,34.54,19.681,37.0,1669366948.1682968
55.4720999,10.3248284,34.54,19.681,37.0,1669366949.1679544
55.4720999,10.3248284,34.54,19.681,37.0,1669366950.1682916
55.4720999,10.3248284,34.54,19.681,37.0,1669366951.1683164
55.4720999,10.3248284,34.54,19.681,37.0,1669366952.168317
55.4720999,10.3248284,34.54,19.681,37.0,1669366953.1684673
55.4720999,10.3248284,34.54,19.681,37.0,1669366954.16835
55.4720999,10.3248284,34.54,19.681,37.0,1669366955.1682816
55.4720999,10.3248284,34.54,19.681,37.0,1669366956.1683118
55.4720999,10.3248284,34.54,19.681,37.0,1669366957.1676598
55.4720999,10.3248284,34.54,19.681,37.0,1669366958.168316
55.4720999,10.3248284,34.54,19.681,37.0,1669366959.167617
55.4720999,10.3248284,34.54,19.681,37.0,1669366960.168213
55.4720999,10.3248284,34.54,19.681,37.0,1669366961.1682973
55.4720999,10.3248284,34.54,19.681,37.0,1669366962.1686397
55.4720999,10.3248284,34.54,19.681,37.0,1669366963.1676662
55.4720999,10.3248284,34.54,19.681,37.0,1669366964.1676345
55.4720999,10.3248284,34.54,19.681,37.0,1669366965.1679828
55.4720999,10.3248284,34.54,19.681,37.0,1669366966.1676738
55.4720999,10.3248284,34.54,19.681,37.0,1669366967.1676667
55.4720999,10.3248284,34.54,19.681,37.0,1669366968.1676743
55.4720999,10.3248284,34.54,19.681,37.0,1669366969.1676564
55.4720999,10.3248284,34.54,19.681,37.0,1669366970.1676285
55.4720999,10.3248284,34.54,19.681,37.0,1669366971.167648
55.4720999,10.3248284,34.54,19.681,37.0,1669366972.1675518
55.4720999,10.3248284,34.54,19.681,37.0,1669366973.1676672
55.4720474,10.3247096,45.134,30.274,145.0,1669366974.168361
55.4720212,10.3247383,45.088,30.228,146.0,1669366975.1683526
55.4720101,10.3247497,45.069,30.209,145.0,1669366976.1676414
55.4719962,10.324763,45.205,30.345,144.0,1669366977.167956
55.4719909,10.3247642,44.956,30.096,144.0,1669366978.1676564
55.4719896,10.3247631,43.845,28.986,144.0,1669366979.1675422
55.4719897,10.3247628,43.215,28.356,143.0,1669366980.1675172
55.4719889,10.3247646,42.002,27.142,145.0,1669366981.1675677
55.4719799,10.3247759,40.891,26.031,146.0,1669366982.1676776
55.4719675,10.3247901,39.913,25.054,145.0,1669366983.1683335
55.4719639,10.3247933,38.826,23.967,146.0,1669366984.167539
55.4719637,10.324793,38.208,23.349,146.0,1669366985.1676571
55.4719642,10.3247917,36.982,22.122,145.0,1669366986.1676722
55.4719644,10.32479,35.762,20.902,146.0,1669366987.1676326
55.4719642,10.3247885,34.621,19.762,145.0,1669366988.1676784
55.471964,10.3247877,34.034,19.175,146.0,1669366989.167675
55.4719638,10.324787,32.943,18.083,145.0,1669366990.1676836
55.4719638,10.3247869,31.855,16.995,146.0,1669366991.1676536
55.4719641,10.3247877,31.33,16.47,147.0,1669366992.1675498
55.4719611,10.3247957,29.58,14.72,147.0,1669366993.167681
55.4719562,10.3248029,28.967,14.108,148.0,1669366994.168337
55.4719416,10.3248224,27.951,13.092,146.0,1669366995.1676698
55.4719344,10.3248296,26.882,12.023,145.0,1669366996.1683376
55.4719326,10.3248295,26.302,11.443,145.0,1669366997.167603
55.4719205,10.3248398,25.013,10.154,147.0,1669366998.167661
55.4719085,10.3248522,24.009,9.15,145.0,1669366999.168323
55.4719036,10.3248523,23.004,8.145,145.0,1669367000.1682026
55.4719025,10.3248506,22.489,7.629,145.0,1669367001.1675367
55.4719039,10.3248527,21.473,6.613,145.0,1669367002.1682043
55.4719075,10.3248611,20.593,5.733,145.0,1669367003.1683142
55.471909,10.3248708,19.838,4.979,147.0,1669367004.1676297
55.4719012,10.3248892,19.015,4.156,148.0,1669367005.1682951
55.4718948,10.3248995,18.652,3.792,146.0,1669367006.167538
55.471887,10.3249087,17.81,2.951,143.0,1669367007.1676545
55.4718852,10.3249083,17.384,2.525,144.0,1669367008.1683116
55.4718852,10.3249083,17.384,2.525,144.0,1669367009.1683097
55.4718852,10.3249083,17.384,2.525,144.0,1669367010.168335
55.4718852,10.3249083,17.384,2.525,144.0,1669367011.1683435
55.4718852,10.3249083,17.384,2.525,144.0,1669367012.1682992
55.4718852,10.3249083,17.384,2.525,144.0,1669367013.168322
55.4718852,10.3249083,17.384,2.525,144.0,1669367014.1676395
55.4718852,10.3249083,17.384,2.525,144.0,1669367015.1675935
55.4718852,10.3249083,17.384,2.525,144.0,1669367016.1677265
55.4718852,10.3249083,17.384,2.525,144.0,1669367017.1683028
55.4718852,10.3249083,17.384,2.525,144.0,1669367018.168291
55.4718852,10.3249083,17.384,2.525,144.0,1669367019.1682916
55.4718852,10.3249083,17.384,2.525,144.0,1669367020.168309
55.4718852,10.3249083,17.384,2.525,144.0,1669367021.1683292
55.4718852,10.3249083,17.384,2.525,144.0,1669367022.1683316
55.4718852,10.3249083,17.384,2.525,144.0,1669367023.1682882
55.4718852,10.3249083,17.384,2.525,144.0,1669367024.1683145
55.4718852,10.3249083,17.384,2.525,144.0,1669367025.1681702
55.4718852,10.3249083,17.384,2.525,144.0,1669367026.167528
