time,rssi,remrssi,noise,remnoise,rxerrors,fixed
1668088067.7042696,-118,-120,20,0,137,0
1668088068.1635826,-118,-120,18,0,137,0
1668088068.6344404,-118,-120,18,0,137,0
1668088069.094228,-118,-120,18,0,137,0
1668088069.7841573,-118,-120,19,0,137,0
1668088070.2543108,-118,-120,20,0,137,0
1668088070.7140965,-118,-120,17,0,137,0
1668088071.1742146,-118,-120,17,0,137,0
1668088071.6439621,-118,-120,18,0,137,0
1668088072.334302,-118,-120,20,0,137,0
1668088072.7937293,-118,-120,19,0,137,0
1668088073.2644222,-118,-120,21,0,137,0
1668088073.7241602,-118,-120,19,0,137,0
1668088074.1841211,-118,-120,19,0,137,0
1668088074.8742921,-118,-120,20,0,137,0
1668088075.3442366,-118,-120,19,0,137,0
1668088075.8041742,-118,-120,18,0,137,0
1668088076.2742798,-118,-120,19,0,137,0
1668088076.7343106,-118,-120,17,0,137,0
1668088077.4242299,-118,-120,18,0,137,0
1668088077.8842092,-118,-120,20,0,137,0
1668088078.3543236,-118,-120,19,0,137,0
1668088078.8142307,-118,-120,21,0,137,0
1668088079.2643666,-118,-120,19,0,137,0
1668088079.9640162,-118,-120,20,0,137,0
1668088080.4342935,-117,-120,18,0,137,0
1668088080.8844004,-116,-120,18,0,137,0
1668088081.3442273,-116,-120,18,0,137,0
1668088081.8141627,-116,-120,20,0,137,0
1668088082.514123,-116,-120,18,0,137,0
1668088082.9840274,-116,-120,20,0,137,0
1668088083.4239469,-116,-120,17,0,137,0
1668088083.8939128,-116,-120,17,0,137,0
1668088084.3541443,-116,-120,17,0,137,0
1668088085.0645163,-116,-120,19,0,137,0
1668088085.5041556,-115,-120,19,0,137,0
1668088085.974253,-114,-120,17,0,137,0
1668088086.4343061,-113,-120,19,0,137,0
1668088086.9042041,-112,-120,19,0,137,0
1668088087.593993,-111,-103,18,41,137,0
1668088087.9543438,-109,-103,20,41,137,0
1668088088.4043458,-109,-103,20,41,138,0
1668088089.1040437,-107,-103,18,41,140,0
1668088089.564366,-107,-103,19,41,140,0
1668088090.0342777,-106,-103,21,41,140,0
1668088090.494215,-106,-103,19,41,140,0
1668088090.9542046,-108,-103,19,41,141,0
1668088091.64428,-106,-103,17,41,141,0
1668088092.1041756,-106,-103,17,41,141,0
1668088092.5742385,-109,-103,19,41,142,0
1668088093.024194,-109,-103,18,41,144,0
1668088093.484131,-109,-103,17,41,145,0
1668088094.0741103,-106,-103,21,41,145,0
1668088094.5541804,-102,-103,18,39,145,0
1668088095.1039228,-102,-102,21,39,145,0
1668088095.5745459,-102,-102,20,39,145,0
1668088096.024178,-104,-102,21,39,145,0
1668088096.6241019,-104,-102,21,41,146,0
1668088097.0942416,-105,-102,20,41,147,0
1668088097.644096,-105,-102,21,41,147,0
1668088098.0941749,-105,-102,18,41,147,0
1668088098.564247,-104,-102,21,41,147,0
1668088099.2541802,-103,-102,20,41,147,0
1668088099.6443112,-101,-101,20,40,147,0
1668088100.193965,-102,-101,19,40,148,0
1668088100.6340754,-102,-101,19,40,149,0
1668088101.1042202,-103,-101,20,40,151,0
1668088101.794199,-103,-100,21,41,151,0
1668088102.2641075,-103,-100,19,41,151,0
1668088102.713895,-103,-100,21,32,152,0
1668088103.1743257,-104,-100,22,32,152,0
1668088103.644098,-103,-100,19,32,152,0
1668088104.334198,-101,-100,21,39,152,0
1668088104.794164,-99,-100,19,34,152,0
1668088105.1942034,-98,-99,19,41,152,0
1668088105.7240703,-101,-99,19,41,152,0
1668088106.1842287,-101,-99,21,41,152,0
1668088106.8742454,-104,-100,18,52,152,0
1668088107.2440686,-106,-101,20,38,152,0
1668088107.8040533,-106,-101,21,38,152,0
1668088108.2640388,-106,-101,19,38,152,0
1668088108.7239006,-107,-101,20,34,153,0
1668088109.1743605,-107,-101,19,34,159,0
1668088109.874364,-108,-104,20,44,161,0
1668088110.2442808,-108,-103,21,44,163,0
1668088110.8042004,-108,-103,18,44,163,0
1668088111.2542658,-108,-104,19,37,164,0
1668088111.8541722,-104,-104,20,45,164,0
1668088112.4140236,-105,-104,21,45,166,0
1668088112.8041446,-104,-103,18,45,166,0
1668088113.3441677,-102,-103,19,45,166,0
1668088113.8043647,-100,-102,20,38,166,0
1668088114.2541873,-98,-101,19,44,166,0
1668088114.8638873,-98,-100,20,39,166,0
1668088115.3341513,-99,-100,20,39,166,0
1668088115.7745712,-100,-100,20,40,166,0
1668088116.3341048,-98,-100,20,45,166,0
1668088116.7941291,-98,-100,19,38,166,0
1668088117.4042137,-97,-100,20,42,166,0
1668088117.8538706,-97,-100,18,42,166,0
1668088118.3140004,-97,-100,19,45,166,0
1668088118.8640454,-98,-100,21,45,166,0
1668088119.3340626,-99,-99,21,40,166,0
1668088119.9542043,-97,-98,20,42,166,0
1668088120.4442163,-97,-98,20,43,166,0
1668088120.8641512,-96,-99,19,47,166,0
1668088121.404322,-96,-99,19,40,166,0
1668088121.8742971,-96,-98,19,37,166,0
1668088122.5041864,-99,-98,21,46,166,0
1668088122.9440846,-99,-98,21,41,166,0
1668088123.403953,-97,-96,20,38,166,0
1668088123.9542308,-99,-96,21,46,166,0
1668088124.4140532,-97,-96,20,53,166,0
1668088125.0542626,-99,-98,20,44,166,0
1668088125.4740753,-96,-98,20,44,166,0
1668088125.934471,-96,-98,19,44,166,0
1668088126.4838562,-96,-98,19,43,166,0
1668088126.9541757,-96,-98,20,36,166,0
1668088127.574295,-99,-98,21,39,166,0
1668088128.0142148,-102,-98,19,37,166,0
1668088128.5143583,-101,-98,20,39,166,0
1668088129.0343325,-102,-98,20,50,166,0
1668088129.494393,-102,-98,18,44,166,0
1668088130.0940495,-101,-99,19,36,166,0
1668088130.5845282,-101,-99,18,46,166,0
1668088131.004284,-102,-100,22,42,166,0
1668088131.5641973,-103,-100,19,42,167,0
1668088132.0242462,-103,-100,20,38,169,0
1668088132.6142554,-104,-100,18,38,170,0
1668088133.1041079,-103,-100,22,38,172,0
1668088133.6540287,-104,-100,19,38,173,0
1668088134.104206,-104,-101,21,36,173,0
1668088134.5742564,-102,-101,20,46,173,0
1668088135.0242777,-101,-100,20,39,173,0
1668088135.644306,-100,-100,21,39,174,0
1668088136.0841544,-101,-100,20,39,174,0
1668088136.6544545,-102,-100,21,39,176,0
1668088137.1139092,-104,-101,19,38,176,0
1668088137.5642622,-104,-101,19,45,176,0
1668088138.144262,-103,-103,18,50,177,0
1668088138.6645827,-103,-102,19,41,177,0
1668088139.0842462,-104,-102,22,45,177,0
1668088139.6444597,-103,-101,18,42,177,0
1668088140.1041787,-103,-101,20,42,178,0
1668088140.7041395,-102,-101,19,36,178,0
1668088141.174129,-103,-101,21,36,178,0
1668088141.6340256,-102,-101,20,43,178,0
1668088142.194208,-102,-101,20,42,178,0
1668088142.6542623,-100,-101,19,44,178,0
1668088143.2343044,-101,-100,19,43,178,0
1668088143.7040875,-101,-101,20,46,178,0
1668088144.1642027,-101,-100,21,40,178,0
1668088144.7239137,-101,-99,20,40,178,0
1668088145.1942887,-98,-98,19,38,178,0
1668088145.7841551,-98,-96,18,43,178,0
1668088146.284266,-99,-96,22,38,178,0
1668088146.7540045,-101,-96,19,43,178,0
1668088147.2541008,-102,-96,20,43,180,0
1668088147.724245,-104,-97,22,42,181,0
1668088148.3141534,-103,-97,19,41,181,0
1668088148.784248,-101,-97,21,40,181,0
1668088149.2641237,-99,-96,18,41,181,0
1668088149.794196,-100,-96,21,44,181,0
1668088150.264161,-99,-96,20,42,181,0
1668088150.8942997,-101,-96,20,45,181,0
1668088151.3342996,-101,-97,20,40,181,0
1668088151.7840579,-101,-98,21,47,181,0
1668088152.3341496,-101,-97,19,40,181,0
1668088152.8041813,-101,-98,21,38,181,0
1668088153.404062,-102,-98,21,43,181,0
1668088153.854064,-103,-98,21,42,181,0
1668088154.364176,-103,-99,19,43,181,0
1668088154.8040066,-105,-98,21,38,182,0
1668088155.3342636,-105,-99,22,43,182,0
1668088156.0244014,-104,-99,21,40,183,0
1668088156.4239264,-102,-99,24,39,183,0
1668088156.864161,-100,-99,17,37,183,0
1668088157.3938339,-99,-99,19,46,183,0
1668088157.8739893,-97,-99,20,46,183,0
1668088158.533896,-96,-96,17,42,183,0
1668088158.964222,-95,-96,20,40,183,0
1668088159.3940406,-95,-95,19,36,183,0
1668088159.9539144,-99,-95,19,42,183,0
1668088160.4243844,-99,-95,20,42,183,0
1668088161.0944948,-100,-96,22,51,183,0
1668088161.4942403,-100,-96,20,43,183,0
1668088161.9439886,-100,-96,21,39,183,0
1668088162.4441664,-100,-96,20,41,183,0
1668088162.9440327,-101,-96,20,41,183,0
1668088163.56417,-99,-98,20,39,183,0
1668088164.0842793,-97,-98,19,41,183,0
1668088164.4642801,-96,-97,18,39,183,0
1668088165.0342937,-95,-97,20,39,183,0
1668088165.4942684,-96,-96,18,39,183,0
1668088166.1146345,-96,-97,17,44,183,0
1668088166.6543906,-97,-97,22,45,183,0
1668088166.9941797,-95,-97,20,45,183,0
1668088167.5743191,-94,-96,20,38,183,0
1668088168.044068,-97,-95,21,47,185,0
1668088168.4943748,-96,-95,22,45,185,0
1668088169.1541524,-92,-95,19,53,185,0
1668088169.5740006,-92,-95,20,53,185,0
1668088170.1140168,-91,-93,21,38,185,0
1668088170.5742576,-95,-92,20,42,185,0
1668088171.0342085,-96,-93,19,39,185,0
1668088171.6542287,-94,-94,20,51,185,0
1668088172.094325,-94,-94,16,51,185,0
1668088172.5441282,-92,-94,19,42,185,0
1668088173.1141727,-92,-94,21,46,185,0
1668088173.584241,-93,-93,18,43,185,0
1668088174.1740372,-93,-93,21,51,185,0
1668088174.7338464,-93,-94,19,39,185,0
1668088175.0938406,-92,-94,19,52,185,0
1668088175.6541266,-92,-94,19,43,185,0
1668088176.1139302,-92,-94,19,45,185,0
1668088176.7240384,-93,-94,22,43,185,0
1668088177.2341127,-95,-95,20,47,185,0
1668088177.6547983,-95,-95,20,41,185,0
1668088178.1938548,-95,-95,21,38,185,0
1668088178.6542032,-95,-96,20,48,185,0
1668088179.273983,-95,-96,19,41,185,0
1668088179.704,-92,-95,21,45,185,0
1668088180.1642022,-91,-92,21,39,185,0
1668088180.6639843,-92,-92,21,43,185,0
1668088181.1941888,-95,-92,20,43,185,0
1668088181.8039758,-98,-92,20,44,185,0
1668088182.2642002,-96,-93,20,45,185,0
1668088182.7345865,-94,-93,19,38,185,0
1668088183.274254,-94,-93,19,45,185,0
1668088183.7342143,-94,-93,18,44,185,0
1668088184.194154,-93,-92,21,46,185,0
1668088184.7741911,-91,-91,21,40,185,0
1668088185.2440808,-90,-90,21,40,185,0
1668088185.7340295,-91,-90,20,43,185,0
1668088186.274575,-92,-92,21,43,185,0
1668088186.7340066,-92,-92,19,42,185,0
1668088187.3443575,-91,-92,19,43,185,0
1668088187.7741365,-90,-90,19,46,185,0
1668088188.3541028,-90,-90,18,41,185,0
1668088188.8040955,-90,-90,20,47,185,0
1668088189.2742112,-90,-90,20,44,185,0
1668088189.864638,-90,-90,20,47,185,0
1668088190.3342154,-89,-89,19,42,185,0
1668088190.8843863,-89,-89,20,45,185,0
1668088191.3446543,-89,-89,20,38,185,0
1668088191.9340537,-87,-89,19,40,185,0
1668088192.413961,-87,-87,19,46,185,0
1668088192.8741903,-87,-87,21,44,185,0
1668088193.4240763,-86,-87,20,48,185,0
1668088193.8943036,-86,-86,20,47,185,0
1668088194.494273,-86,-86,20,39,185,0
1668088194.9542549,-86,-86,18,47,185,0
1668088195.4241803,-86,-85,20,46,185,0
1668088195.9641488,-85,-85,20,42,185,0
1668088196.4339216,-84,-84,20,42,185,0
1668088197.0142558,-84,-84,18,52,185,0
1668088197.564384,-84,-84,19,38,185,0
1668088197.9440813,-85,-84,22,42,185,0
1668088198.514167,-85,-84,21,43,185,0
1668088198.9641798,-85,-84,23,43,185,0
1668088199.5545864,-85,-85,19,39,185,0
1668088200.0241313,-85,-85,19,47,185,0
1668088200.4942455,-85,-85,19,45,185,0
1668088201.0438473,-85,-86,18,42,185,0
1668088201.5040867,-84,-85,19,51,185,0
1668088202.1046343,-84,-83,21,46,185,0
1668088202.5744061,-84,-83,20,44,185,0
1668088203.0242288,-83,-83,18,48,185,0
1668088203.5846183,-82,-82,20,45,185,0
1668088204.0640657,-82,-82,20,43,185,0
1668088204.654331,-82,-82,22,50,185,0
1668088205.1145327,-81,-82,20,46,185,0
1668088205.6142635,-80,-82,23,38,185,0
1668088206.1341493,-80,-82,19,48,185,0
1668088206.5940228,-79,-82,21,46,185,0
1668088207.1942713,-78,-80,20,47,185,0
1668088207.664547,-77,-78,20,38,185,0
1668088208.1043966,-76,-77,20,47,185,0
1668088208.6745374,-76,-77,21,40,185,0
1668088209.1341538,-76,-77,17,40,185,0
1668088209.7843382,-74,-76,18,46,185,0
1668088210.184274,-74,-75,21,40,185,0
1668088210.6644094,-73,-74,19,49,185,0
1668088211.2138996,-73,-73,20,46,185,0
1668088211.6745307,-72,-73,21,46,185,0
1668088212.324092,-72,-73,18,50,185,0
1668088212.7244558,-72,-72,20,46,185,0
1668088213.194167,-72,-71,20,44,185,0
1668088213.7343144,-71,-71,19,52,185,0
1668088214.2140372,-71,-71,21,52,185,0
1668088214.814001,-69,-69,20,50,185,0
1668088215.274239,-69,-69,19,47,185,0
1668088215.764205,-69,-69,20,42,185,0
1668088216.2941864,-68,-69,19,42,185,0
1668088216.7642303,-68,-69,19,53,185,0
1668088217.364391,-72,-71,21,45,185,0
1668088217.8343232,-72,-73,19,41,185,0
1668088218.2644026,-72,-73,20,48,185,0
1668088218.8342247,-71,-73,17,48,185,0
1668088219.29431,-69,-71,20,52,185,0
1668088219.7540193,-64,-68,20,52,185,0
1668088220.3846774,-65,-64,19,45,185,0
1668088220.8142676,-63,-64,21,45,185,0
1668088221.374125,-63,-64,19,42,185,0
1668088221.8338406,-65,-64,21,46,185,0
1668088222.4539561,-62,-60,24,44,185,0
1668088222.893877,-66,-56,20,45,185,0
1668088223.344015,-62,-56,20,45,185,0
1668088223.8440354,-58,-58,19,43,185,0
1668088224.3838904,-58,-58,20,43,185,0
1668088224.8341553,-58,-61,18,40,185,0
